Date,Cases
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,1
2020-03-16,0
2020-03-17,0
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,1
2020-04-14,0
2020-04-15,0
2020-04-16,1
2020-04-17,1
2020-04-18,0
2020-04-19,0
2020-04-20,4
2020-04-21,2
2020-04-22,3
2020-04-23,3
2020-04-24,2
2020-04-25,3
2020-04-26,2
2020-04-27,12
2020-04-28,6
2020-04-29,5
2020-04-30,13
2020-05-01,7
2020-05-02,0
2020-05-03,6
2020-05-04,8
2020-05-05,4
2020-05-06,17
2020-05-07,12
2020-05-08,10
2020-05-09,44
2020-05-10,16
2020-05-11,34
2020-05-12,28
2020-05-13,65
2020-05-14,53
2020-05-15,28
2020-05-16,35
2020-05-17,41
2020-05-18,77
2020-05-19,85
2020-05-20,110
2020-05-21,106
2020-05-22,202
2020-05-23,64
2020-05-24,116
2020-05-25,125
2020-05-26,96
2020-05-27,77
2020-05-28,61
2020-05-29,61
2020-05-30,49
2020-05-31,55
2020-06-01,105
2020-06-02,63
2020-06-03,99
2020-06-04,122
2020-06-05,159
2020-06-06,116
2020-06-07,98
2020-06-08,110
2020-06-09,103
2020-06-10,163
2020-06-11,106
2020-06-12,103
2020-06-13,33
2020-06-14,125
2020-06-15,157
2020-06-16,271
2020-06-17,196
2020-06-18,248
2020-06-19,184
2020-06-20,102
2020-06-21,99
2020-06-22,321
2020-06-23,284
2020-06-24,125
2020-06-25,394
2020-06-26,222
2020-06-27,241
2020-06-28,207
2020-06-29,251
2020-06-30,408
2020-07-01,436
2020-07-02,447
2020-07-03,464
2020-07-04,304
2020-07-05,231
2020-07-06,346
2020-07-07,214
2020-07-08,371
2020-07-09,351
2020-07-10,331
2020-07-11,252
2020-07-12,112
2020-07-13,398
2020-07-14,375
2020-07-15,281
2020-07-16,313
2020-07-17,378
2020-07-18,192
2020-07-19,59
2020-07-20,358
2020-07-21,379
2020-07-22,340
2020-07-23,310
2020-07-24,428
2020-07-25,215
2020-07-26,68
2020-07-27,423
2020-07-28,344
2020-07-29,338
2020-07-30,246
2020-07-31,285
2020-08-01,97
2020-08-02,60
2020-08-03,194
2020-08-04,331
2020-08-05,241
2020-08-06,187
2020-08-07,207
2020-08-08,105
2020-08-09,55
2020-08-10,270
2020-08-11,224
2020-08-12,263
2020-08-13,206
2020-08-14,133
2020-08-15,27
2020-08-16,79
2020-08-17,151
2020-08-18,168
2020-08-19,176
2020-08-20,229
2020-08-21,180
2020-08-22,58
2020-08-23,28
2020-08-24,222
2020-08-25,171
2020-08-26,218
2020-08-27,174
2020-08-28,150
2020-08-29,59
2020-08-30,20
2020-08-31,133
2020-09-01,121
2020-09-02,129
2020-09-03,119
2020-09-04,98
2020-09-05,35
2020-09-06,25
2020-09-07,151
2020-09-08,187
2020-09-09,144
2020-09-10,101
2020-09-11,77
2020-09-12,44
2020-09-13,26
2020-09-14,79
2020-09-15,27
2020-09-16,99
2020-09-17,115
2020-09-18,126
2020-09-19,41
2020-09-20,39
2020-09-21,123
2020-09-22,156
2020-09-23,77
2020-09-24,138
2020-09-25,153
2020-09-26,96
2020-09-27,28
2020-09-28,118
2020-09-29,85
2020-09-30,108
2020-10-01,112
2020-10-02,109
2020-10-03,36
2020-10-04,47
2020-10-05,116
2020-10-06,136
2020-10-07,149
2020-10-08,69
2020-10-09,130
2020-10-10,37
2020-10-11,23
2020-10-12,121
2020-10-13,129
2020-10-14,148
2020-10-15,98
2020-10-16,65
2020-10-17,138
2020-10-18,62
2020-10-19,113
2020-10-20,10
2020-10-21,125
2020-10-22,117
2020-10-23,134
2020-10-24,41
2020-10-25,28
2020-10-26,125
2020-10-27,166
2020-10-28,127
2020-10-29,127
2020-10-30,130
2020-10-31,30
2020-11-01,22
2020-11-02,84
2020-11-03,148
2020-11-04,134
2020-11-05,125
2020-11-06,136
2020-11-07,62
2020-11-08,26
2020-11-09,112
2020-11-10,153
2020-11-11,162
2020-11-12,159
2020-11-13,132
2020-11-14,36
2020-11-15,17
2020-11-16,200
2020-11-17,138
2020-11-18,137
2020-11-19,200
2020-11-20,171
2020-11-21,32
2020-11-22,19
2020-11-23,163
2020-11-24,162
2020-11-25,149
2020-11-26,114
2020-11-27,159
2020-11-28,45
2020-11-29,23
2020-11-30,163
2020-12-01,152
2020-12-02,84
2020-12-03,195
2020-12-04,147
2020-12-05,51
2020-12-06,27
2020-12-07,173
2020-12-08,177
2020-12-09,159
2020-12-10,188
2020-12-11,153
2020-12-12,50
2020-12-13,29
2020-12-14,145
2020-12-15,232
2020-12-16,180
2020-12-17,167
2020-12-18,136
2020-12-19,53
2020-12-20,35
2020-12-21,232
2020-12-22,211
2020-12-23,164
2020-12-24,59
2020-12-25,19
2020-12-26,67
2020-12-27,36
2020-12-28,268
2020-12-29,257
2020-12-30,283
2020-12-31,77
2021-01-01,21
2021-01-02,57
2021-01-03,59
2021-01-04,294
2021-01-05,245
2021-01-06,305
2021-01-07,389
2021-01-08,361
2021-01-09,90
2021-01-10,45
2021-01-11,348
2021-01-12,296
2021-01-13,282
2021-01-14,291
2021-01-15,308
2021-01-16,126
2021-01-17,84
2021-01-18,423
2021-01-19,296
2021-01-20,364
2021-01-21,292
2021-01-22,312
2021-01-23,126
2021-01-24,58
2021-01-25,321
2021-01-26,275
2021-01-27,253
2021-01-28,221
2021-01-29,192
2021-01-30,162
2021-01-31,26
2021-02-01,267
2021-02-02,159
2021-02-03,233
2021-02-04,228
2021-02-05,170
